01436,"VESANCY ",1005172,"12,74",128060,"- ","    .     ","- ",1001074,"3,24",32432,999518,"0,177",1772
01437,"VESCOURS ",184660,"11,19",20665,"- ","    .     ","- ",197047,"7,56",14896,"- ","      .   ","- "
01439,"VESINES ",105849,"9,55",10112,"- ","    .     ","- ",104192,"6,26",6525,"- ","      .   ","- "
01441,"VIEU D IZENAVE ",754703,"5,71",43089,"- ","    .     ","- ",751910,"7,02",52777,700210,"0,177",1236
01442,"VIEU ",634172,"11,3",71661,"- ","    .     ","- ",634245,"5,84",37042,"- ","      .   ","- "
01443,"VILLARS LES DOMBES ",5759070,"11,04",635801,"- ","    .     ","- ",5769159,"6,82",393427,5136024,"0,177",9084
01444,"VILLEBOIS ",1589114,"5,69",90415,"- ","    .     ","- ",1576241,"6,3",99303,1540973,"0,177",2719
01445,"VILLEMOTIER ",617096,"14,95",92253,621374,"0,762",4728,616246,"5,75",35436,"- ","      .   ","- "
01446,"VILLENEUVE ",1450268,"13,5",195798,"- ","    .     ","- ",1450268,"6,38",92531,1434629,"0,177",2542
01447,"VILLEREVERSURE ",1489219,"11,91",177366,"- ","    .     ","- ",1477069,"6,29",92911,1346653,"0,177",2384
01448,"VILLES ",448197,"12,67",56784,"- ","    .     ","- ",448890,"2,63",11812,450507,"0,177",800
01449,"VILLETTE SUR AIN ",1005562,"14,83",149127,"- ","    .     ","- ",1005562,"4,76",47864,1005562,"0,177",1786
01450,"VILLIEU LOYES MOLLON ",3887350,"11,57",449756,"- ","    .     ","- ",3848919,"6,3",242477,3808781,"0,177",6746
01451,"VIRIAT ",7426844,"13,37",992966,"- ","    .     ","- ",6929265,"6,66",461472,6850902,"0,177",12127
01452,"VIRIEU LE GRAND ",1577786,"10,82",170707,"- ","    .     ","- ",1577786,"3,62",57100,"- ","      .   ","- "
01453,"VIRIEU LE PETIT ",380416,"13,56",51577,"- ","    .     ","- ",379560,"5,84",22181,375320,"0,177",677
01454,"VIRIGNIN ",1304693,"11,33",147814,"- ","    .     ","- ",1299975,"3,62",47052,"- ","      .   ","- "
01456,"VONGNES ",134341,"15,3",20552,"- ","    .     ","- ",134504,"3,62",4868,"- ","      .   ","- "
01457,"VONNAS ",2985552,"17,33",517389,"- ","    .     ","- ",2984453,"3,01",89826,2585456,"0,177",4567
02001,"ABBECOURT ",416520,"13,65",56853,"- ","    .     ","- ",393400,"7,28",28641,"- ","      .   ","- "
02002,"ACHERY ",448527,"17,32",77681,"- ","    .     ","- ",449303,"10,57",47495,"- ","      .   ","- "
02003,"ACY ",859346,"8,79",75547,"- ","    .     ","- ",744898,"7,09",52810,837572,"0,221",1851
