code_insee, nom_commune, base_nette_commune, taux_commune, produit_commune, base_nette_syndicat, taux_syndicat, produit_syndicat, base_nette_interco, taux_interco, produit_interco, base_nette_tse, taux_tse, produit_tse
55515,"TRESAUVAUX ",2948,"5,38",158,"- ","    .     ","- ",2948,"13,5",398,2948,"1,26",36
55516,"TREVERAY ","N.C. ","9,29","N.C. ","- ","    .     ","- ","N.C. ","19,25","N.C. ",144495,"1,26",1823
55516,"TREVERAY                                           dans la ZAE ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","10,13","N.C. ","N.C. ","1,26","N.C. "
55517,"SEUIL D'ARGONNE ",33640,"10,11",3399,"- ","    .     ","- ",34561,"7,6",2624,33640,"1,26",427
55518,"COUSANCES TRICONVILLE ",46740,"16,21",7576,"- ","    .     ","- ",46740,"2,82",1316,46740,"1,26",590
55519,"TRONVILLE EN BARROIS ","- ","       .  ","- ","- ","    .     ","- ",619692,"23,14",143394,619692,"1,26",7804
55520,"TROUSSEY ",16079,"17,32",2784,"- ","    .     ","- ",16079,"2,82",449,16079,"1,26",201
55521,"TROYON ",11348,"4,25",476,"- ","    .     ","- ",11348,"10,12",1151,11348,"1,26",142
55522,"UGNY SUR MEUSE ",3016,"8,47",256,"- ","    .     ","- ",3016,"9,19",276,3016,"1,26",36
55523,"VACHERAUVILLE ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","19,68","N.C. ","N.C. ","1,26","N.C. "
55525,"VADELAINCOURT ",28225,"11,01",3109,"- ","    .     ","- ",28225,"10,93",3085,28225,"1,26",356
55526,"VADONVILLE ",17504,"11,64",2036,"- ","    .     ","- ",17504,"6,1",1068,17504,"1,26",222
55527,"VARENNES EN ARGONNE ",210943,"11,65",24579,"- ","    .     ","- ",210943,"9,93",20951,210943,"1,26",2655
55528,"VARNEVILLE ",1254,"8,82",112,"- ","    .     ","- ",1254,"9,98",124,1254,"1,26",15
55530,"VALBOIS ",19138,"9,32",1783,"- ","    .     ","- ",19138,"9,98",1909,19138,"1,26",239
55531,"VASSINCOURT ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","19,94","N.C. ","N.C. ","1,26","N.C. "
55532,"VAUBECOURT ",9530,"12,56",1196,"- ","    .     ","- ",9530,"7,6",722,9530,"1,26",120
55533,"VAUCOULEURS ",477952,"10,6",50685,"- ","    .     ","- ",478961,"9,19",44015,477952,"1,26",6029
55534,"VAUDEVILLE LE HAUT ",110124,"11,23",12367,"- ","    .     ","- ",110124,"9,12",10043,110124,"1,26",1388
55535,"VAUDONCOURT ","N.C. ","10,46","N.C. ","- ","    .     ","- ","N.C. ","11,5","N.C. ","N.C. ","1,26","N.C. "
55536,"VAUQUOIS ",0,"7,71",0,"- ","    .     ","- ",0,"9,93",0,0,"1,26",0
55537,"VAUX DEVANT DAMLOUP ","- ","       .  ","- ","- ","    .     ","- ",4199,"19,68",827,4199,"1,26",53
55540,"VAUX LES PALAMEIX ",0,"10,52",0,"- ","    .     ","- ",0,"10,12",0,0,"1,26",0
55541,"VAVINCOURT ","- ","       .  ","- ","- ","    .     ","- ",45488,"23,14",10526,45488,"1,26",572
